2024-04-17,-1560,Продукты,Продукты
2024-04-18,-120,Кофе,Рестораны
2024-04-19,-15600,Ноутбук игровой,Техника
2024-04-20,-780,Бассейн,Спорт
2024-04-21,-1670,Продукты,Продукты
2024-04-22,-340,Такси,Транспорт
2024-04-23,-2300,Рубашки,Одежда
2024-04-24,-890,Паста,Рестораны
2024-04-25,-450,Связь,Коммунальные
2024-04-26,-13400,Тур в Грецию,Путешествия
2024-04-27,-3400,Салон красоты,Красота
2024-04-28,-1200,Курсы дизайна,Образование
2024-04-29,-1450,Продукты,Продукты
2024-04-30,-350,Метро,Транспорт
2024-05-01,55000,Зарплата,Доход
2024-05-02,-1670,Продукты,Продукты
2024-05-03,-1890,Стейк-хаус,Рестораны
2024-05-04,-670,Аптека,Здоровье
2024-05-05,-2900,Аренда,Жилье
2024-05-06,-890,Интернет,Коммунальные
2024-05-07,-230,Такси,Транспорт
2024-05-08,-4500,Кроссовки,Одежда
2024-05-09,-1200,Боулинг,Развлечения
2024-05-10,-1560,Продукты,Продукты
2024-05-11,-780,Бензин,Транспорт
2024-05-12,-6700,Смартфон,Техника
2024-05-13,-2300,Тренажерный зал,Спорт
2024-05-14,-5600,Стол,Дом
2024-05-15,-340,Обед,Рестораны
2024-05-16,-180,Автобус,Транспорт
2024-05-17,-1890,Продукты,Продукты
2024-05-18,-150,Кофе,Рестораны
2024-05-19,-8900,Игровая консоль,Техника
2024-05-20,-670,Плавание,Спорт
2024-05-21,-1670,Продукты,Продукты
2024-05-22,-450,Такси,Транспорт
2024-05-23,-3400,Брюки,Одежда
2024-05-24,-1200,Суши,Рестораны
2024-05-25,-550,Коммунальные,Коммунальные
2024-05-26,-16700,Тур в Италию,Путешествия
2024-05-27,-4500,Массаж,Красота
2024-05-28,-2300,Курсы маркетинга,Образование
2024-05-29,-1450,Продукты,Продукты
2024-05-30,-350,Метро,Транспорт
2024-05-31,-230,Кофе,Рестораны
2024-06-01,48000,Аванс,Доход
2024-06-02,-1670,Продукты,Продукты
2024-06-03,-2300,Французский ресторан,Рестораны
2024-06-04,-890,Стоматолог,Здоровье
2024-06-05,-2800,Аренда,Жилье
2024-06-06,-950,Интернет,Коммунальные
2024-06-07,-290,Такси,Транспорт
2024-06-08,-6700,Платье,Одежда
2024-06-09,-1560,Концерт,Развлечения
2024-06-10,-1340,Продукты,Продукты
2024-06-11,-670,Бензин,Транспорт
2024-06-12,-7800,Монитор,Техника
2024-06-13,-2300,Йога,Спорт
2024-06-14,-4500,Кресло,Дом
2024-06-15,-450,Обед,Рестораны
2024-06-16,-180,Метро,Транспорт
2024-06-17,-1560,Продукты,Продукты
2024-06-18,-120,Кофе,Рестораны
2024-06-19,-15600,Фотокамера,Техника
2024-06-20,-780,Теннис,Спорт
2024-06-21,-1670,Продукты,Продукты
2024-06-22,-340,Такси,Транспорт
2024-06-23,-2300,Джинсы,Одежда
2024-06-24,-890,Пицца,Рестораны
2024-06-25,-450,Связь,Коммунальные
2024-06-26,-13400,Тур в Испанию,Путешествия
2024-06-27,-3400,Косметика,Красота
2024-06-28,-1200,Курсы финансов,Образование
2024-06-29,-1450,Продукты,Продукты
2024-06-30,-350,Метро,Транспорт
